prompt,prompt_len,target
Emperor Taizong of Jin,22,60.0
Emperor Xizong of Jin,21,31.0
Emperor Hailingwang of Jin,26,39.0
Emperor Shizong of Jin,22,66.0
Emperor Zhangzong of Jin,24,40.0
Wanyan Yongji,13,45.0
Emperor Xuanzong of Jin,23,61.0
Emperor Aizong of Jin,21,36.0
Mustafa Kemal Atatürk,21,57.0
Jean Bodel,10,45.0
Walter of Châtillon,19,66.0
Huang Xianfan,13,83.0
François-Édouard Picot,22,82.0
Edward II of England,20,43.0
Jaufre Rudel,12,23.0
Peire Vidal,11,65.0
Hugh Primas,11,65.0
Laurent Mourguet,16,75.0
Adolf Butenandt,15,92.0
Charles Lyell,13,78.0
Franc Gubenšek,14,73.0
Jovan Hadži,11,88.0
Fran Jesenko,12,57.0
William IX,10,55.0
Ernest Mayer,12,89.0
Gilles de Corbeil,17,84.0
Gilles de Paris,15,64.0
Gautier de Coincy,17,59.0
Geoffrey of Villehardouin,25,60.0
Maria de Ventadorn,18,42.0
Anton Polenec,13,90.0
Theobald of Étampes,19,40.0
Robert the Monk,15,32.0
Wace,4,74.0
David Bowie,11,69.0
Louis Blériot,13,64.0
Francisco Goya,14,82.0
Greta Garbo,11,85.0
Pietro Mennea,13,61.0
Isabella Teotochi Albrizzi,26,76.0
Rudolf Feustel,14,93.0
Antonio Canova,14,65.0
Luigi Bailo,11,97.0
Bartolomeo Coghetto,19,86.0
Andrea del Sarto,16,44.0
Salvador Dalí,13,85.0
Albrecht Dürer,14,57.0
Vittore Carpaccio,17,61.0
Vincent van Gogh,16,37.0
Giovanni Giocondo,17,82.0
Katsushika Hokusai,18,89.0
Frida Kahlo,11,47.0
Henri Matisse,13,85.0
Pinturicchio,12,59.0
Michelangelo,12,89.0
Pablo Picasso,13,92.0
Antonello da Messina,20,49.0
Raphael,7,37.0
Rembrandt,9,63.0
Peter Paul Rubens,17,63.0
Andy Warhol,11,59.0
Frank Lloyd Wright,18,92.0
Aimeric de Peguilhan,20,28.0
Odo of Deuil,12,52.0
Fulcher of Chartres,19,68.0
Hugh of Fouilloy,16,74.0
Gautier d'Arras,15,54.0
Gui de Cambrai,14,78.0
John of Hauville,16,49.0
Héloïse d’Argenteuil,20,63.0
Hugues III d'Oisy,17,44.0
Conon de Béthune,16,69.0
Lambert of Ardres,17,67.0
Fra Angelico,12,55.0
Sandro Botticelli,17,65.0
Abu Nuwas,9,58.0
Hans Christian Andersen,23,70.0
Matsuo Bashō,12,50.0
Lord Byron,10,36.0
Andrea Mantegna,15,75.0
Miguel de Cervantes,19,69.0
Geoffrey Chaucer,16,57.0
Anton Chekhov,13,44.0
Charles Dickens,15,58.0
Philippe Pétain,15,95.0
Adolphe Thiers,14,80.0
Pierre-Joseph Proudhon,22,56.0
Peter Kropotkin,15,79.0
Che Guevara,11,39.0
Masaccio,8,27.0
Mao Zedong,10,83.0
Piero della Francesca,21,77.0
Pietro Perugino,15,75.0
Gabriel García Márquez,22,87.0
Johann Wolfgang von Goethe,26,83.0
Marcel Duchamp,14,81.0
Chuck Berry,11,91.0
Jimi Hendrix,12,28.0
James Brown,11,73.0
Eddie Cochran,13,22.0
Buddy Holly,11,23.0
Anna de Noailles,16,57.0
Marco Polo,10,70.0
Hebe Camargo,12,83.0
Tupac Shakur,12,25.0
Hafez,5,63.0
Gerardus Mercator,17,82.0
Klaus Störtebeker,17,41.0
Søren Kierkegaard,17,42.0
Mervyn Peake,12,57.0
Jean-Jacques Rousseau,21,66.0
Stanisław Lem,13,85.0
Günter Grass,12,88.0
Gustave Doré,12,51.0
Alexander von Humboldt,22,90.0
Jacob Grimm,11,78.0
Allen Ginsberg,14,71.0
Wilhelm Grimm,13,73.0
Carl Friedrich Gauss,20,78.0
Edward Teller,13,95.0
James Joyce,11,59.0
Luca Signorelli,15,73.0
Julien Offray de La Mettrie,27,42.0
Li Bai,6,61.0
Niels Bohr,10,77.0
Évariste Galois,15,21.0
Emmy Noether,12,53.0
Sophie Germain,14,55.0
Baron d'Holbach,15,66.0
Michel Audiard,14,65.0
Cosimo Tura,11,65.0
José María Ventura Casas,24,58.0
Marie Curie,11,67.0
Qin Er Shi,10,22.0
Simone de Beauvoir,18,78.0
Marcel Proust,13,51.0
Alexander Pushkin,17,38.0
Dorothy M. Needham,18,91.0
Ziying,6,94.0
Elizabeth I of England,22,70.0
Emperor Gaozu of Han,20,61.0
Emperor Hui of Han,18,22.0
Emperor Wen of Han,18,45.0
Emperor Jing of Han,19,47.0
Emperor Wu of Han,17,69.0
Joan of Arc,11,19.0
Emperor Zhao of Han,19,20.0
Prince of Changyi,17,33.0
Marie-Anne Paulze Lavoisier,27,78.0
Emperor Xuan of Han,19,42.0
Rosa Luxemburg,14,48.0
Emperor Yuan of Han,19,42.0
Emperor Cheng of Han,20,44.0
Lucy Weston Pickett,19,93.0
Emperor Ai of Han,17,26.0
Rabindranath Tagore,19,80.0
Leo Tolstoy,11,82.0
Emperor Ping of Han,19,15.0
Mark Twain,10,75.0
Ruzi Ying,9,20.0
Agnes Pockels,13,73.0
Wang Mang,9,68.0
Alan Turing,11,42.0
Ada Lovelace,12,37.0
Liu Penzi,9,89.0
Hazel Alden Reason,18,75.0
Emperor Guangwu of Han,22,62.0
Emperor Ming of Han,19,47.0
Ellen Swallow Richards,22,69.0
Emperor Zhang of Han,20,31.0
Emperor He of Han,17,27.0
Emperor An of Han,17,31.0
Émilie du Châtelet,18,43.0
Ruby Hirose,11,56.0
Emperor Shun of Han,19,29.0
Johannes Brahms,15,64.0
Emperor Huan of Han,19,36.0
Antonín Dvořák,14,63.0
Emperor Ling of Han,19,33.0
Prince of Hongnong,18,14.0
George Frideric Handel,22,74.0
Gustav Mahler,13,51.0
Patsy O'Connell Sherman,23,78.0
Giacomo Puccini,15,66.0
Franz Schubert,14,31.0
Igor Stravinsky,15,89.0
Pyotr Ilyich Tchaikovsky,24,53.0
Emperor Xian of Han,19,53.0
Giuseppe Verdi,14,88.0
Jacques Cartier,15,66.0
Christopher Columbus,20,55.0
James Cook,10,51.0
Hernán Cortés,13,62.0
Yuri Gagarin,12,34.0
Vasco da Gama,13,55.0
Ibn Battuta,11,73.0
Zheng He,8,62.0
Otto Frank,10,91.0
Edith Frank-Holländer,21,45.0
Margot Frank,12,19.0
John Coltrane,13,41.0
Joseph Haydn,12,77.0
Robert Schumann,15,46.0
Emperor Wu of Jin,17,54.0
Emperor Hui of Jin,18,48.0
Sima Lun,8,61.0
Emperor Huai of Jin,19,13.0
Federico Fellini,16,73.0
Alfred Hitchcock,16,81.0
Emperor Min of Jin,18,18.0
Emperor Yuan of Jin,19,47.0
Emperor Ming of Jin,19,26.0
Emperor Cheng of Jin,20,21.0
Emperor Kang of Jin,19,22.0
Emperor Mu of Jin,17,18.0
Emperor Ai of Jin,17,24.0
Emperor Fei of Jin,18,44.0
Emperor Jianwen of Jin,22,52.0
Emperor Xiaowu of Jin,21,34.0
Emperor An of Jin,17,37.0
Emperor Gong of Jin,19,35.0
Kamala Sohonie,14,86.0
Hertha Sponer,13,73.0
Anna Sundström,14,86.0
Mária Telkes,12,95.0
Margaret Thatcher,17,88.0
Emperor Wen of Sui,18,63.0
Emperor Yang of Sui,19,48.0
Emperor Gong of Sui,19,14.0
Yang Tong,9,14.0
Karen Wetterhahn,16,49.0
Elsie Widdowson,15,94.0
Nina Andreyeva,14,82.0
Myrtle Bachelder,16,89.0
Leslie Barnett,14,82.0
Emperor Jingzong of Western Xia,31,45.0
Ruth R. Benerito,16,97.0
Emperor Yizong of Western Xia,29,21.0
Hazel Bishop,12,92.0
Lucy Everest Boole,18,42.0
Rachel Fuller Brown,19,82.0
Emma P. Carr,12,92.0
Emperor Huizong of Western Xia,30,25.0
Asima Chatterjee,16,89.0
Emperor Renzong of Western Xia,30,69.0
Emperor Xiangzong of Western Xia,32,41.0
Emperor Shenzong of Western Xia,31,63.0
Emperor Xianzong of Western Xia,31,45.0
Mildred Cohn,12,96.0
Mary Peters Fieser,18,88.0
Emperor Taizu of Song,21,49.0
Emperor Taizong of Song,23,58.0
Rosalind Franklin,17,38.0
Emperor Zhenzong of Song,24,54.0
Emperor Renzong of Song,23,53.0
Elizabeth Fulhame,17,30.0
Emperor Yingzong of Song,24,35.0
Louise Giblin,13,78.0
Mary L. Good,12,88.0
Louise Hammarström,18,68.0
Emperor Shenzong of Song,24,37.0
Emperor Zhezong of Song,23,24.0
Anna J. Harrison,16,86.0
Emperor Huizong of Song,23,53.0
Dorothy Hodgkin,15,84.0
Emperor Qinzong of Song,23,61.0
Emperor Gaozong of Song,23,80.0
Clara Immerwahr,15,45.0
Jane Stafford,13,92.0
Emperor Xiaozong of Song,24,67.0
Emperor Guangzong of Song,25,53.0
Emperor Ningzong of Song,24,56.0
Emperor Lizong of Song,22,59.0
Emperor Duzong of Song,22,34.0
Emperor Gong of Song,20,52.0
Irène Joliot-Curie,18,59.0
Joyce Jacobson Kaufman,22,87.0
Stephanie L. Kwolek,19,91.0
Kathleen Lonsdale,17,68.0
Maud Menten,11,81.0
Tolui,5,41.0
Ögedei Khan,11,55.0
Möngke Khan,11,50.0
Carmen Hermosillo,17,68.0
Kublai Khan,11,79.0
Louise Nevelson,15,89.0
Sally Floyd,11,69.0
Prince,6,58.0
Ingmar Bergman,14,89.0
Jude Milhon,11,64.0
Joyce K. Reynolds,17,65.0
Leonhard Euler,14,76.0
Napoleon III,12,65.0
Napoleon II,11,21.0
August Strindberg,17,63.0
Joseph Bonaparte,16,76.0
Grazia Deledda,14,65.0
Louis Bonaparte,15,68.0
Alexis of Russia,16,47.0
Louis XVI of France,19,39.0
Louis XV of France,18,64.0
Louis XIV of France,19,77.0
Louis XVIII of France,21,69.0
Giuseppe Arcimboldo,19,66.0
Charles X of France,19,79.0
Eduard Hau,10,81.0
Francesco Bacchiacca,20,63.0
Louis Philippe I,16,77.0
Fra Bartolomeo,14,45.0
Ambrogio Bergognone,19,70.0
Donato Bramante,15,71.0
Bramantino,10,65.0
Giotto di Bondone,17,70.0
Annibale Carracci,17,49.0
Boris Vian,10,39.0
René Magritte,13,69.0
Alfred Jarry,12,34.0
Frank Herbert,13,66.0
Lluís Companys,14,58.0
Rurik,5,49.0
Ivan IV Vasilyevich,19,54.0
Sergei Eisenstein,17,50.0
Josep Tarradellas i Joan,24,89.0
Akira Kurosawa,14,88.0
Franklin Delano Roosevelt,25,63.0
Winston Churchill,17,91.0
Augustine of Hippo,18,76.0
Nelson Mandela,14,95.0
Martin Luther King Jr.,22,39.0
Jules Hardouin Mansart,22,62.0
Louis Antoine de Pardaillan de Gondrin,38,72.0
Guy Georget,11,60.0
Paul Bocuse,11,92.0
Kurt Von Hess,13,57.0
Claes Gerritszoon Compaen,25,73.0
Ivan Dirkie de Veenboer,23,21.0
Dean Ho,7,81.0
Elmer Gethin Rees,17,78.0
Albert Arnold Gillespie,23,79.0
Fred Sersen,11,72.0
Hans Schmidt,12,71.0
Louis X of France,17,27.0
Alexander the Great,19,33.0
Cyrus the Great,15,70.0
Philip V of France,18,29.0
Hugo Chávez,11,59.0
Otto von Bismarck,17,83.0
Kurt Cobain,11,27.0
Cima da Conegliano,18,58.0
Antonio da Correggio,20,45.0
Timur,5,69.0
Umar ibn Al-Khattāb,19,59.0
Temür Khan,10,42.0
Suleiman the Magnificent,24,72.0
Peter the Great,15,53.0
Il Sodoma,9,72.0
Lorenzo di Credi,16,78.0
Bernardino Luini,16,57.0
Ayurbarwada Buyantu Khan,24,35.0
Gegeen Khan,11,21.0
Edsger W. Dijkstra,18,72.0
Yesün Temür Khan,16,35.0
Sun Yat-sen,11,59.0
Akbar,5,63.0
Simón Bolívar,13,47.0
Andrew Johnson,14,67.0
Pierre Trudeau,14,81.0
Kwame Nkrumah,13,63.0
Gordon Jennings,15,57.0
Douglas Shearer,15,72.0
Khutughtu Khan,14,29.0
L. B. Abbott,12,77.0
Juan Trippe,11,82.0
Walt Disney,11,65.0
Thomas Alva Edison,18,84.0
Michael Faraday,15,76.0
Enrico Fermi,12,53.0
Colin Maclaurin,15,48.0
Fibonacci,9,70.0
Henry Ford,10,84.0
Joseph Fourier,14,62.0
Georg Falck,11,69.0
Augustin-Louis Cauchy,21,68.0
Satyajit Ray,12,71.0
Arnošt Muka,11,78.0
Johannes Gutenberg,18,68.0
James Prescott Joule,20,71.0
Johannes Kepler,15,59.0
Max Planck,10,89.0
Nikola Tesla,12,87.0
James Watt,10,83.0
Gottfried Wilhelm Leibniz,25,70.0
Karl Marx,9,65.0
Joseph Victor von Scheffel,26,60.0
James Clerk Maxwell,19,48.0
Tabaré Vázquez,14,80.0
Dmitri Mendeleev,16,73.0
Ernest Rutherford,17,66.0
Erwin Schrödinger,17,74.0
Josip Broz Tito,15,88.0
René Descartes,14,54.0
Paul,4,62.0
C. S. Lewis,11,65.0
Sigmund Freud,13,83.0
Georg Wilhelm Friedrich Hegel,29,61.0
Immanuel Kant,13,80.0
John Maynard Keynes,19,63.0
Jacopo Tintoretto,17,76.0
Guy de Maupassant,17,43.0
Palma Vecchio,13,48.0
Parmigianino,12,37.0
John Locke,10,72.0
Friedrich Nietzsche,19,56.0
Jean-Paul Sartre,16,75.0
Sima Qian,9,59.0
Adam Smith,10,67.0
Max Weber,9,56.0
Ludwig Wittgenstein,19,62.0
Zhu Xi,6,70.0
Silvius Magnago,15,96.0
Mahavira,8,72.0
Arnold Palmer,13,87.0
Thomas Aquinas,14,49.0
Queen Victoria,14,82.0
Paolo Veronese,14,60.0
Muhammad,8,62.0
Graham Taylor,13,73.0
A. P. J. Abdul Kalam,20,84.0
Al-Ghazali,10,53.0
Martin Luther,13,63.0
James Callaghan,15,93.0
Gerald Ford,11,93.0
Richard Nixon,13,81.0
Frances E. Allen,16,88.0
Lyndon B. Johnson,17,65.0
"Diana, Princess of Wales",24,36.0
Henry Purcell,13,36.0
John F. Kennedy,15,46.0
Emperor Gaozu of Tang,21,69.0
Emperor Taizong of Tang,23,51.0
Emperor Gaozong of Tang,23,55.0
Honoré de Balzac,16,51.0
Emperor Zhongzong of Tang,25,54.0
Emperor Ruizong of Tang,23,54.0
Gioachino Rossini,17,76.0
Wu Zetian,9,81.0
Emperor Shang of Tang,21,20.0
Emperor Xuanzong of Tang,24,77.0
Emperor Suzong of Tang,22,51.0
Emperor Daizong of Tang,23,52.0
Emperor Dezong of Tang,22,63.0
Emperor Shunzong of Tang,24,45.0
Emperor Xianzong of Tang,24,42.0
Emperor Muzong of Tang,22,29.0
Emperor Jingzong of Tang,24,18.0
Emperor Wenzong of Tang,23,31.0
Emperor Wuzong of Tang,22,32.0
Emperor Xuánzong of Tang,24,49.0
Emperor Yizong of Tang,22,40.0
Emperor Xizong of Tang,22,26.0
Emperor Zhaozong of Tang,24,37.0
Emperor Ai of Tang,18,16.0
Dwight D. Eisenhower,20,79.0
Hongwu Emperor,14,70.0
Winifred Asprey,15,90.0
Ronald Reagan,13,93.0
Jianwen Emperor,15,25.0
Yongle Emperor,14,64.0
Hongxi Emperor,14,47.0
Xuande Emperor,14,36.0
Zhengtong Emperor,17,37.0
Jingtai Emperor,15,29.0
Chenghua Emperor,16,40.0
Hongzhi Emperor,15,35.0
Yevgeny Chernyaev,17,71.0
Zhengde Emperor,15,30.0
Jiajing Emperor of Ming,23,60.0
Longqing Emperor,16,35.0
Wanli Emperor,13,57.0
Taichang Emperor,16,38.0
Tianqi Emperor,14,22.0
Chongzhen Emperor,17,33.0
Edith Hannam,12,73.0
Helen Aitchison,15,66.0
Alice Greene,12,77.0
Dadabhai Naoroji,16,92.0
John McCain,11,82.0
Odd Børretzen,13,86.0
Ayrton Senna,12,34.0
Neville Chamberlain,19,71.0
Kim Jong-il,11,70.0
Yann-Fañch Kemener,18,62.0
Louise Ebrel,12,88.0
Robert Mugabe,13,95.0
Tibor Sekelj,12,76.0
Henri Nouvel,12,80.0
Leo von Caprivi,15,68.0
Henriette Avram,15,87.0
Alois Pupp,10,69.0
Karl Erckert,12,61.0
Vilfredo Pareto,15,75.0
Pierre Bouguer,14,60.0
Abd al-Rahman al-Sufi,21,83.0
Muḥammad ibn Jābir al-Ḥarrānī al-Battānī,40,72.0
Valerie Solanas,15,52.0
John Paul Stevens,17,99.0
Ruth Bader Ginsburg,19,87.0
Abū Ishāq Ibrāhīm al-Zarqālī,28,60.0
