prompt,prompt_len,target
Afghan Offensive Is New War Model.,34,False
Coalition Troops Storm a Taliban Haven.,39,False
U.S. Envoys Head Out on a Mission to Rally Iran’s Neighbors.,60,True
Tiger Farms in China Feed Thirst for Parts.,43,False
Doctors Haunted by Haitians They Couldn’t Help.,47,False
"Bluster on Twitter, and Off It, Too, From Russia’s NATO Envoy.",62,False
Afghan Attack Gives Marines a Taste of War.,43,False
Errant U.S. Rocket Strike Kills Civilians in Afghanistan.,57,False
Palestinian President Suspends Aide in Sex Scandal.,51,False
Opposition Chief Is Named Victor of Ukrainian Vote.,51,False
"Haiti Emerges From Its Shock, and Tears Roll.",45,False
Opposition in Iran Meets a Crossroads on Strategy.,50,True
Leader Raises Eyebrows by Following His Muse.,45,False
Clinton Raises U.S. Concerns of Military Power in Iran.,55,True
"Half of Town’s Taliban Flee or Are Killed, Allies Say.",54,False
Pope Meets Irish Bishops to Discuss Clergy Abuse.,49,False
"Missionaries Go to Haiti, Followed by Scrutiny.",47,False
Opposition Grows in Germany to Bailout for Greece.,50,False
Secret Joint Raid Captures Taliban’s Top Commander.,51,False
New Hints of Skulduggery in Hamas Killing.,42,False
Taliban Arrest May Be Crucial for Pakistanis.,45,False
China Intensifies Tug of War With India on Nepal.,49,False
BBC Host Admits Killing Ailing Partner.,39,False
Snipers Imperil U.S.-Led Forces in Afghan Offensive.,52,False
Spanish Premier Insists Economic Recovery Is Near.,50,False
"Obama Meets Dalai Lama, and China Is Quick to Protest.",54,False
Palace in Niger Is Attacked by Soldiers.,40,False
"In Pakistan Raid, Taliban Chief Was an Extra Prize.",51,False
"With Steel and Asphalt, Bridge Helps Seal Baghdad’s Division.",61,False
Rift Grows as U.S. and China Seek Differing Goals.,50,False
Calls in Egypt for ElBaradei to Seek Presidency.,48,False
An Accidental Leader Stirs Hopes in Nigeria.,44,False
Ukraine: Premier Presses Case of Fraud.,39,False
Russia: Life Term for a Former Officer.,39,False
Poor Sanitation in Haiti’s Camps Adds Disease Risk.,51,False
The Vatican: Australian Saint Approved.,39,False
Marines Do Heavy Lifting as Afghan Army Lags in Battle.,55,False
"Filipino Politicians Wield Private Armies, Despite Ban.",55,False
Niger Junta Gives Assurances on Democracy Plans.,48,False
Afghans Voice Their Fears Amid Marja Campaign.,46,False
A Model of Harmony Is Found in a Flashpoint City for Iraqi Sectarian Fighting.,78,False
A Bus System Reopens Rifts in South Africa.,43,False
NATO Airstrike Kills Afghan Civilians.,38,False
Countless Lost Limbs Alter Life in Haiti’s Ruins.,49,False
Israel’s Plans for 2 Sites Stir Unrest in West Bank.,52,False
China’s Han Flock to Theme Parks Featuring Minorities.,54,False
Questions Surface After Haitian Airlift.,40,False
Turkey Unsettled by Officer Arrests.,36,False
Inquiry Grows in Dubai Assassination.,37,False
British Panel Condemns Media Group in Phone Hacking Case.,57,False
"C.I.A. and Pakistan Work Together, Warily.",42,False
"In an Iraqi City, the Real Ballot Contest Is for Shiite Leadership.",67,False
"On Visit to Rwanda, Sarkozy Admits ‘Grave Errors’ in 1994 Genocide.",67,False
Turkey’s Leaders Seek to Defuse Crisis.,39,False
Mayor’s Housing Offer Sets Off Row in Jerusalem.,48,False
More Clashes Over Israeli Claim to Shrine.,42,False
Mystical Form of Islam Suits Sufis in Pakistan.,47,False
Thai Court Seizes $1.4 Billion From Ex-Premier.,47,False
Myanmar Denies Dissident’s Appeal.,34,False
Another Puzzle After Iran Moves Nuclear Fuel .,46,True
Iraqi Sunnis Pin Their Hopes on Elections.,42,False
1.5 Million Displaced After Chile Quake.,40,False
Frustrated Strivers  in Pakistan Turn to Jihad.,47,False
Frantic Rescue Efforts in Chile as Troops Seek to Keep Order.,61,False
"Slain Hamas Operative Was Drugged, Dubai Police Say.",52,False
"Using Diplomatic Touch, an Outsider Challenges the Grip of Egypt’s Ruling Party.",80,False
Vote Seen as Pivotal Test for Both Iraq and Maliki.,51,False
"After Push in Marja, Marines Try to Win Trust.",46,False
"With Olympic Flame Out, Russia Fumes Over Its Athletes’ Showing.",64,False
"‘Hero of Ukraine’ Splits Nation, Inside and Out.",48,False
Iraqis Awash in Gifts From Candidates.,38,False
"Army Ebbs, and Power Realigns in Turkey.",40,False
"For 13th Time, Critic of China’s Government Is Barred From Leaving Country.",75,False
Iraq’s Top Cleric Refuses to Influence Elections.,49,False
Abuse Case Rouses India’s Middle Class.,39,False
"The Sea, Lifeblood of Chilean Towns, Turns Deadly.",50,False
Indicted Ex-Leader of Bosnian Serbs Calls Atrocities ‘Myths’.,61,False
Murky Candidacy Stokes Iraq’s Sectarian Fears.,46,False
"In Iraq, Early Vote Is Marred by Attacks.",41,False
House Panel Says Armenian Deaths Were Genocide.,47,False
Haitian Singer and His Guitar Fight Urge to Weep.,49,False
Iceland Voters Set to Reject Debt Deal.,39,False
Unity Elusive as Iraq Grasps Trappings of Democracy.,52,False
Russia Says Burnt Body May Belong to Militant.,46,False
U.S. Aiding Somalia in Its Plan to Retake Its Capital.,54,False
U.S. Sees a Terror Threat; Pakistanis See a Heroine.,52,False
U.S. Enriches Companies Defying Its Policy on Iran.,51,True
Letting Women Reach Women in Afghan War.,40,False
"Seoul Police Link 1,700 Pairs of Shoes to 2 Feet.",49,False
"As Iraq Tallies Vote, U.S. Says Pullout Plans Are ‘on Track’.",61,False
Afghanistan’s President Receives a Mixed Reception in a Visit to Newly Won Marja.,81,False
Absorbing the Blows That Buffet Europe.,39,False
U.S. Hopes Exports Will Help Open Closed Societies.,51,False
"Sunnis Go to Polls, This Time, to Retain a Voice.",49,False
Toll From Religious and Ethnic Violence in Nigeria Rises to 500.,64,False
Candidates Speculate on Results of Iraq Vote.,45,False
Berlin’s Airport: Shining Beacon or Waste of Money.,51,False
"In Chile’s Capital, Damage Is Inside and Invisible.",51,False
"As Biden Visits,
Israel Unveils Plan for New Settlements.",58,False
Uproar in India Over Female Lawmaker Quota.,43,False
"Somalia Food Aid Bypasses Needy, U.N. Study Says.",49,False
"Upset by U.S. Security, Pakistanis Return as Heroes.",52,False
Nigerians Recount Night of Their Bloody Revenge.,48,False
Chile Leader Enters Changed Political Landscape.,48,False
Spy Chief in Pakistan to Stay On Another Year.,46,False
Rewrite of Physics by Einstein on Display.,42,False
"In Early Tally, Tight Iraq Race Deepens Splits.",47,False
U.N. to End Some Deals for Food to Somalia.,43,False
Tale of Botched Traffic Operation Increases Russians’ Mistrust of Moscow Police.,80,False
Earthquake’s Burdens Weigh Heavily on Haiti’s Elderly.,54,False
Cost of Stadium Reveals Tensions in South Africa.,49,False
Abuse Scandal in Germany Edges Closer to Pope.,46,False
Pakistan Army Digs In on Turf of the Taliban.,45,False
Arrest Stokes Concerns About Radicalized Muslims.,49,False
Clinton Rebukes Israel on Housing Announcement.,47,False
"Where Some Envision Czar’s End, Church Sees Building Site.",58,False
"Fearing Drug Cartels, Reporters in Mexico Retreat.",50,False
New Fraud Cases Point to Lapses in Iraq Projects.,49,False
"Netanyahu Offers Apology, but No Shift in Policy.",49,False
Panic in Georgia After a Mock News Broadcast.,45,False
Two Drug Slayings in Mexico Rock U.S. Consulate.,48,False
"For Philippine Family in Politics, Land Issue Hits Home.",56,False
Contractors Tied to Effort to Track and Kill Militants.,55,False
Thai Protesters Shut Down Parts of Bangkok.,43,False
Iraq Election Results Hint of Political Shift.,46,False
Israel Feeling Rising Anger From the U.S. .,43,False
German Priest in Church Abuse Case Is Suspended.,48,False
Indian Cabinet Backs Foreign Schools.,37,False
U.S. Is Reining In Special Operations Forces in Afghanistan.,60,False
Mexico Is Warned on Drug Detector.,34,False
Rural Haiti Struggles to Absorb Displaced.,42,False
Followers of Sadr Emerge Stronger After Iraq Elections.,55,False
Leaders’ Lavishness Gives Rise to ‘Lifestyle Audits’.,53,False
Vatican Official Says Rising Number of Sexual Abuse Cases Could Overload Staff.,79,False
China: Film Star Responds to Accusations on Quake Charity.,58,False
Opportunity in a Fight With Israel.,35,False
Irish Cardinal ‘Ashamed’ of Handling of ’75 Abuse.,50,False
Taliban Hit Back in Marja With a Campaign of Intimidation.,58,False
Suspicion of Arson at Royal Tombs Fuels Deadly Clashes in Uganda.,65,False
"Change Comes to Myanmar, but Only on the Junta’s Terms.",55,False
German Call for Austerity Has Europe Grumbling.,47,False
N. Korea Is Said to Execute Finance Chief.,42,False
Iran Dispute Becomes Focus of Clinton’s Russia Trip.,52,True
Gaza Rocket Attack Into Israel Kills a Thai Worker.,51,False
Young Hostage Freed After Wide Hunt.,36,False
Israeli Suggests Steps to Aid Peace Talks.,42,False
Doctor Asserts Church Ignored Abuse Warnings.,45,False
"For India’s Newly Rich Farmers, Limos Won’t Do.",47,False
"Music, Infused With Sorrow and Joy, in Honor of Migrant Dreamers.",65,False
Clinton Calls Israel’s Moves to Ease Tension ‘Useful’.,54,False
"Iran Releases Opposition Leaders, Rights Advocates Say.",55,True
"In Haiti, Mental Health System Is in Collapse.",46,False
"U.S. Frees Detainees, but Afghans’ Anger Persists.",50,False
Irish Town Puzzled by Role in Investigation.,44,False
New Efforts on Iran Sanctions Run Into Familiar Snags.,54,True
Adviser in Haiti to Americans Is Captured.,42,False
Obama Offers Engagement in Video Message to Iranians.,53,True
U.S. Turns a Blind Eye to Opium in Afghan Town.,47,False
Mexican Traffickers Sow Chaos With Blockades.,45,False
Iraq’s Premier Endorses a Recount of the Vote.,46,False
Tent City at a Golf Club Dramatizes Haiti’s Limbo.,50,False
Pope’s Letter Does Little to Assuage Anger.,43,False
Bid to Relax International Ban on the Sale of Ivory Is Rejected.,64,False
Rio Tinto Workers Admit Taking Bribes in China.,47,False
Netanyahu Takes Hard Line on Jerusalem Housing.,47,False
A Flock Grows Right at Home for a Priest in Ukraine.,52,False
North Korea Says a Detained U.S. Citizen Will Face Trial.,57,False
"Election Looming, Tories Put Posh Foot in Mouth.",48,False
Russia to Alter System of Penal Colonies.,41,False
Church Adds More Abuse Cases to Its Inquiry in Germany.,55,False
U.S. and Mexico Revise Joint Antidrug Strategy.,47,False
Insurgent Faction Presents Afghan Peace Plan.,45,False
Somali Backlash May Be Militants’ Worst Foe.,44,False
Indian Students Wield Tests for College Spots.,46,False
Stance by China to Limit Google Is Risk by Beijing.,51,False
Israel Absorbs Twin Rebukes From Top Allies.,44,False
Russia and U.S. Report Breakthrough on Arms .,45,False
Vatican Declined to Defrock U.S. Priest Who Abused Boys.,56,False
"Despite Authoritarian Rule, Myanmar Art Grows.",46,False
Conflicting Demands Test Netanyahu.,35,False
"Chávez Critic Is Arrested, Then Freed, in Venezuela.",52,False
American Terror Suspect Traveled Unimpeded.,43,False
Memo to Pope Described Transfer of Pedophile Priest.,52,False
Allawi Victory in Iraq Sets Up Period of Uncertainty.,53,False
Twists and Turns on Way to Arms Pact With Russia.,49,False
Tighter Rules Fail to Stem Deaths of Innocent Afghans at Checkpoints.,69,False
Blasts Kill Dozens at Cafe and Restaurant North of Baghdad.,59,False
Zimbabwe Shrugs Off Gay Rights.,31,False
"Kandahar, a Battlefield Even Before U.S. Offensive.",51,False
Maliki Contests the Result of Iraq Vote.,40,False
Agencies Suspect Iran Is Planning Atomic Sites.,47,True
Fleeing Rebels Kill Hundreds of Congolese.,42,False
"In Afghan Trip, Obama Presses Karzai on Graft.",46,False
Chinese Activist Surfaces After a Year in Custody.,50,False
Scandal Tests Catholics’ Trust in Leadership.,45,False
Rift Exposes Split in Views on Mideast.,39,False
North Koreans Use Cellphones to Bare Secrets.,45,False
Moscow Attack a Test for Putin and His Record Against Terror.,61,False
Main Opposition to Boycott Myanmar Election.,44,False
Chinese Court Hands Down Stiff Sentences to Four Mining Company Employees.,74,False
Iraqi Ex-Premier Looks to Past in Fighting Critics.,51,False
"On China’s Hainan Island, the Boom Is Deafening.",48,False
Pakistan Arrests a Top Crime Official.,38,False
"Suicides, Some for Separatist Cause, Jolt India.",48,False
"Despite Doubt, Karzai Brother Retains Power.",44,False
Haiti Frets Over Aid and Control of Rebuilding.,47,False
Lawmakers Resist Karzai’s Move on Election Panel.,49,False
Chechen Rebel Says He Planned Attacks.,38,False
Thai Protesters Shed Culture of Restraint.,42,False
Suspect Says Juárez Killers Had Pursued Jail Guard.,51,False
No Shortcuts When Military Moves a War.,39,False
"Amid Thaw, Obama Talks With Chinese Leader.",43,False
Medvedev Vows Harsh Tactics Against Militants.,46,False
Iran Plays Host to Delegations After Iraq Elections.,52,True
"Countries Blame China, Not Nature, for Water Shortage.",54,False
How a Molesting Case Emerged Decades Later.,43,False
Russia Says Suicide Bomber Was Militant’s Widow.,48,False
Vatican Priest Likens Criticism Over Abuse to Anti-Semitism.,60,False
"Kenya Lawmakers Pass Draft Constitution, Limiting Presidency.",61,False
"In Turkey, Proposed Changes Aim at Old Guard.",45,False
"Walls, Real and Imagined, Surround the Roma.",44,False
"In Call, Karzai Tries to Clarify a Diatribe.",44,False
"From California to Cambodia, Fighting for Women.",48,False
Violence Helps Taliban Undo Afghan Gains.,41,False
Bombs Hit Hub of Diplomacy in Baghdad.,38,False
Protesters Turn Up Heat in Thailand.,36,False
"Easter Support for Pope, and Some Apologies.",44,False
Zuma Seeks to Calm South Africa After Killing.,46,False
Dozens Rescued From Chinese Mine.,33,False
U.S. Admits Role in February Killing of Afghan Women.,53,False
Mentally Disturbed Man Attacks Bishop in Germany.,49,False
Drones Batter Al Qaeda and Its Allies Within Pakistan.,54,False
Spring Harvest of Debt for Parched Farms in Southern China.,59,False
Afghan Investigators Say U.S. Troops Tried to Cover Up Evidence in Botched Raid.,80,False
"With Hope Dwindling, 115 Chinese Miners Are Saved.",50,False
U.S. Consulate in Pakistan Attacked by Militants.,49,False
Thai Protesters Defy Order to Disperse.,39,False
Priest Charged in U.S. Is Still Serving in India.,49,False
Obama Limits When U.S. Would Use Nuclear Arms.,46,False
Baghdad Bombing Streak Stokes Fear of New Round of Sectarian Violence.,70,False
3 Check In at Airport; 1 Departed Beforehand.,45,False
A Region’s Wounds Fester on Russia’s South Border.,50,False
Palestinians Try a Less Violent Path to Resistance.,51,False
Upheaval in Kyrgyzstan Could Imperil Key U.S. Base.,51,False
China’s Censors Tackle and Trip Over the Internet.,50,False
Kyrgyzstan President Says He Will Not Step Down.,48,False
Turnout Low at Sri Lanka Parliamentary Elections.,49,False
South Korean Sailors Say Blast That Sank Their Ship Came From Outside the Vessel.,81,False
Rescuers Work to Save Scores Buried in a Brazil Landslide.,58,False
Leader Is Absent as N. Korean Legislature Convenes.,51,False
Demonstrators Storm TV Station in Thailand.,43,False
Russia Calls for Halt on U.S. Adoptions .,41,False
Kyrgyzstan President Is Offered Passage From Country.,53,False
U.S. Now Trying Softer Approach Toward Karzai.,46,False
Doctors Remove Ammunition From Soldier’s Head.,46,False
Pope Put Off Punishing Abusive Priest.,38,False
Republicans Pose Test for Treaty With Russia.,45,False
Polish President Dies in Jet Crash in Russia.,45,False
Vatican Defends Handling of a Case in California.,49,False
Tribes of Amazon Find an Ally Out of ‘Avatar’.,46,False
"From Embattled Pope, Praise for a Predecessor.",46,False
Ousted Kyrgyz President Claims Popular Support.,47,False
"With Outcome Foretold, Sudanese Elections Begin.",48,False
Polish Crash Inquiry Looks at Decision to Land Jet.,51,False
Leaders Gather for Nuclear Talks as New Threat Is Seen.,55,False
Civilians Killed as U.S. Troops Fire on Afghan Bus.,51,False
China Pledges to Work With U.S. on Iran Sanctions.,50,True
Vatican Publishes Procedures for Sex Abuse Cases.,49,False
French and German Ties Fray Over Greek Crisis.,46,False
A Campaign Shows Signs of Progress Against Polio.,49,False
"Leg Lost, Dancer Is Caught Between Caregivers.",46,False
Obama Vows Fresh Proliferation Push as Summit Ends.,51,False
Banks Making Big Profits From Tiny Loans.,41,False
Mideast Land Conflict Now Includes Street Signs.,48,False
Poland’s Unity Is Disrupted by Plans for President’s Interment.,63,False
"Iraq’s Forces Prove Able, but Loyalty Is Uncertain.",51,False
U.S. Forces Close Post in Afghan ‘Valley of Death’.,51,False
"Taking a Sacred Plunge, One Wave of Humanity at a Time.",55,False
Comments by Cardinal on Sexuality Create a Stir.,48,False
Sudan’s Growth Buoys a Leader Reviled Elsewhere.,48,False
Obama Speech Signals a U.S. Shift on Middle East.,49,False
Volcanic Ash to Curtail Air Traffic Into  Midday Friday.,56,False
Kyrgyz President Leaves Country.,32,False
Russia Seeks Ways to Keep Its Children.,39,False
"After Quake in China, Cold and Altitude Hinder Relief.",54,False
South African Judge May Be Kept From Grandson’s Bar Mitzvah.,60,False
Iraqi Sunnis Expect Allegiance Shift to Bear Fruit.,51,False
"10 Years After a Mea Culpa, No Hint of a ‘Me, Too’.",51,False
Voters’ Concerns on Immigration Spin British Campaign.,54,False
China Starts New Bureau to Curb Web.,36,False
Congo: Red Cross Aides Are Freed.,33,False
Record Audience Tuned In for British Debate.,44,False
"After Quake, Tibetans Distrust China’s Help.",44,False
Gates Says U.S. Lacks a Policy to Thwart Iran.,46,True
Pope Meets Victims Abused by Priests in Malta.,46,False
Scandal Forces India Politician to Step Down.,45,False
Monks Bolster China’s Quake Relief Effort.,42,False
