headline,print_page
New Film May Sway Brazil’s Vote on President.,False
"As China Rises, Fears Grow on Whether Boom Can Endure.",True
5 Convicted in Britain Over Protest at Parade.,False
Georgia: Leaders of a Mutiny Receive Prison Sentences.,False
Russian Dissident’s Passion Endures Despite Tests.,True
Fierce Quake Devastates Haitian Capital.,True
"Google, Citing Attack, Threatens to Exit China.",True
Haiti Lies in Ruins; Grim Search for Untold Dead.,True
Court Is Told Mayor Aided in Massacre of Filipinos.,False
"Israel and Turkey Patch Up Latest Rift, Over Diplomatic Slight.",False
U.S. Companies Join Race on Iraqi Oil Bonanza.,False
Agony Sets In as Medics Focus on the Survivors.,True
Tensions Mount in Devastated Capital as Nations Step Up Aid Pledges to Haiti.,True
Israel Raids Polygamist Compound.,False
Toppled in Ukraine but Nearing a Comeback.,False
Iraqi Commission Bars Nearly 500 Candidates.,False
"After Google’s Stand on China, U.S. Treads Lightly.",True
Patience Wears Thin as Desperation Grows.,True
Chinese Lawyer Declared ‘Missing’ After Arrest.,False
"Senior Qaeda Figures Killed in Attack, Yemen Says.",False
Envoys to Meet on Possible Sanctions Over Iran Nuclear Program.,False
Political Turmoil Follows Barring of Hundreds From Iraq Ballot.,False
"For the Trapped, Rescue Is but the First Hurdle.",True
Officials Strain to Distribute Aid to Haiti as Violence Rises.,True
Lonely Trek to Radicalism for Terror Suspect.,True
Looting Flares Where Authority Breaks Down.,True
Karzai Closing In on Taliban Reconciliation Plan.,False
Hussein Aide Again Given a Sentence of Death.,False
"Amid Rubble, Seeking a Refuge in Faith.",True
Rescues Beat Dimming Odds in Haiti but Fall Short of Need.,True
Right-Wing Businessman Wins Chile’s Presidency.,False
Kabul Attack Shows Resilience of Afghan Militants.,True
Man Who Shot Pope in 1981 Is Freed.,False
"After Hearing in Pakistan, 5 Americans Allege Torture.",False
"Taliban Leaders Unlikely to Accept Offer, Gates Says.",False
"At Yemen College, Scholarship and Jihadist Ideas.",False
The Rise and Fall of a Sunni in Baghdad.,False
"As Haitians Flee, the Dead Go Uncounted.",True
China Curtails Run of ‘Avatar’ as It Fills Theaters.,False
"U.S. Troops Patrol Haiti, Filling a Void.",True
Japan Stalls as Leaders Are Jolted by Old Guard.,False
"After Attack, Afghans Question Motives or See Conspiracies.",False
China to Scan Text Messages to Spot ‘Unhealthy Content’.,False
Nightmare in Haiti: Untreated Illness and Injury.,True
Taliban Overhaul Image to Win Allies.,True
Aid Groups Focus on Haiti’s Homeless.,False
Loyalties of Those Killed in Afghan Raid Remain Unclear.,False
Diplomatic Hand Extended: Furor May Erupt if Shaken.,False
C.I.A. Deaths Prompt Surge in U.S. Drone Strikes.,True
U.S. Delays Setting Up More Anti-Taliban Militias.,False
Study Points to Disease as Main Killer in Darfur.,False
"Haiti’s Icon of Power, Now Palace for Ghosts.",False
China Rebuffs Clinton on Internet Warning.,False
"Foot on Bomb, Marine Defies a Taliban Trap.",True
Two U.S. Soldiers Are Among 17 Afghan Deaths.,False
Cultural Riches Turn to Rubble in Haiti Quake.,True
Mayor-Elect in Okinawan City Opposes U.S. Base.,False
"As Haiti’s Focus Turns to Shelter, Families Press Search for Missing.",False
Netanyahu Says Some Settlements to Stay in Israel.,False
Christmas Bombing Try Is Hailed by bin Laden.,False
General Puts Up a Fight in Sri Lanka’s Election.,False
"On Street Tracing Haiti’s Pain, Survival Goes On.",True
Ethiopian Airliner Crashes Near Beirut.,False
More Tainted Dairy Products Are Found in Chinese Stores.,False
Lawyer Says Hong Kong Violated Chinese Dissident’s Rights.,False
Stitching the Narrative of a Revolution.,False
"Fighting Starvation, Haitians Share Portions.",False
Clock Ticks for Nepal to Settle Its Future.,False
"In Digital Combat, U.S. Finds No Easy Deterrent.",True
U.S. Envoy’s Cables Show Worries on Afghan Plans.,True
Haiti’s Children Adrift in World of Chaos.,True
"Afghan Tribe, Vowing to Fight Taliban, to Get U.S. Aid in Return.",True
War Plan for Karzai: Reach Out to Taliban.,False
"Battling an Image and Reality, Berlusconi Takes on the Mafia (Real and Fictional).",False
Israel Signals Tougher Line on West Bank Protests.,False
"Citing 9/11, Blair Defends Legacy at Iraq Inquiry.",False
Clinton Warns China on Iran Sanctions.,False
Marines Invest in Local Afghan Projects.,False
U.S. Approval of Taiwan Arms Sales Angers China.,False
China Insists That Its Steps on Climate Be Voluntary.,False
U.S. Speeding Up Missile Defenses in Persian Gulf.,True
U.S. to Resume Airlift of Injured Haitians.,True
Pakistani Taliban Leader Is Reported Dead.,False
U.S. Arms for Taiwan Send Beijing a Message.,False
"In Egypt, Religious Clashes Are Off the Record.",False
Men Defend Historic Mandela Site ... From Rabbits.,True
"In Quake’s Wake, Haiti Faces Leadership Void.",False
"Ration Cards in Hand, Thousands Welcome Aid.",False
U.S. Examines Whether Blackwater Tried Bribery.,True
Scores Killed in Attack on Shiite Pilgrims in Iraq.,False
"Case Stokes Haiti’s Fear for Children, and Itself.",True
Paternity Claim Challenges Zuma’s Stance on AIDS.,False
"As Marines Move In, Taliban Fight a Shadowy War.",True
Israel Rebukes 2 for U.N. Gaza Compound Shelling.,False
Officials Visit Russian City Amid Protests.,False
"After Massacre, Guinea Sees Hope of Lifted Chains.",True
China’s Defiance Stirs Fears for Missing Dissident.,False
"With Raw Recruits, Afghan Police Buildup Falters.",False
Soldier Deaths Draw Focus to U.S. in Pakistan.,True
Economic Measures by North Korea Prompt New Hardships and Unrest.,False
"Nepal Waits as 2 Armies, Former Foes, Become One.",False
"For Scots, a Scourge Unleashed by a Bottle.",True
Research Group’s Report Urges Radical Changes in Russia.,False
Haiti Charges Americans With Child Abduction.,True
Romanians Accept Plan for Basing of Missiles.,False
"Even Where Pakistani Law Exists, Taliban Find a Porous Border.",False
"Rebuffing Scholars, Germany Vows to Keep Hitler Out of Print.",False
Ukraine’s Premier Stumps for Her Turn at the Top.,False
Russia Cool to U.S. Plan for Missiles in Romania.,False
Haiti Hospital’s Fight Against TB Falls to One Man.,False
Euro Debt Crisis Is Political Test for Bloc.,True
Russia: Putin Warns His Party on ‘Promises’.,False
Russia: 5 Soldiers Are Killed in Chechnya.,False
"Bruised Maid Dies at 12, and Pakistan Seethes.",True
"With Taliban Leader Reported Dead, New Pakistani Figure Emerges.",False
Bleak Portrait of Haiti Orphanages Raises Fears.,True
Iran’s President Moves Ahead on Uranium Processing.,False
Americans Held in Haiti Are Divided Over Leader.,False
Cry for Self-Rule by Tamils Is Muffled by Reality.,False
"On Afghan Road, Scenes of Beauty and Death.",True
"For Kremlin, Ukraine Election Cuts Two Ways.",True
Sri Lanka Arrests Defeated Candidate.,False
Paperwork Hinders Airlifts of Ill Haitian Children.,True
"In Northern Iraq, a Vote Seems Likely to Split.",False
Arrests by Iran Are a Bid to Quell Wide Protests.,True
Nigerian Parliament Names Acting President.,False
Avalanches Kill Dozens on Mountain Highway in Afghanistan.,False
Pakistan Is Said to Pursue Role in U.S.-Afghan Talks.,True
Philosopher Left to Muse on Ridicule Over a Hoax.,False
China Indicts Rio Tinto Staff on Bribery Charges.,False
Leader Faulted on Using Army in Iraqi Politics.,True
"Officials See Slander in Uzbek Photos, but Artists See Censorship.",False
"Germany, Forced to Buoy Greece, Rues Euro Shift.",True
Obama Takes Several Gambles in Bid to Defuse Nuclear Standoff With Iran.,False
Greek Civil Servants Strike Over Austerity.,False
Iran Boasts of Capacity to Make Bomb Fuel.,False
Adviser to Detained Americans in Haiti Is Investigated.,True
"Author, 17, Says It’s ‘Mixing,’ Not Plagiarism.",False
China Alarmed by Security Threat From Internet.,True
Bollywood and Politics Collide in a Red-Carpet Standoff.,False
Kenyan Police Disperse Gay Wedding.,False
Afghan Offensive Is New War Model.,True
Coalition Troops Storm a Taliban Haven.,True
U.S. Envoys Head Out on a Mission to Rally Iran’s Neighbors.,False
Tiger Farms in China Feed Thirst for Parts.,False
Doctors Haunted by Haitians They Couldn’t Help.,True
"Bluster on Twitter, and Off It, Too, From Russia’s NATO Envoy.",False
Afghan Attack Gives Marines a Taste of War.,True
Errant U.S. Rocket Strike Kills Civilians in Afghanistan.,True
Palestinian President Suspends Aide in Sex Scandal.,False
Opposition Chief Is Named Victor of Ukrainian Vote.,False
"Haiti Emerges From Its Shock, and Tears Roll.",True
Opposition in Iran Meets a Crossroads on Strategy.,False
Leader Raises Eyebrows by Following His Muse.,False
Clinton Raises U.S. Concerns of Military Power in Iran.,True
"Half of Town’s Taliban Flee or Are Killed, Allies Say.",True
Pope Meets Irish Bishops to Discuss Clergy Abuse.,False
"Missionaries Go to Haiti, Followed by Scrutiny.",False
Opposition Grows in Germany to Bailout for Greece.,False
Secret Joint Raid Captures Taliban’s Top Commander.,True
New Hints of Skulduggery in Hamas Killing.,False
Taliban Arrest May Be Crucial for Pakistanis.,True
China Intensifies Tug of War With India on Nepal.,False
BBC Host Admits Killing Ailing Partner.,False
Snipers Imperil U.S.-Led Forces in Afghan Offensive.,True
Spanish Premier Insists Economic Recovery Is Near.,False
"Obama Meets Dalai Lama, and China Is Quick to Protest.",False
Palace in Niger Is Attacked by Soldiers.,False
"In Pakistan Raid, Taliban Chief Was an Extra Prize.",True
"With Steel and Asphalt, Bridge Helps Seal Baghdad’s Division.",False
Rift Grows as U.S. and China Seek Differing Goals.,False
Calls in Egypt for ElBaradei to Seek Presidency.,False
An Accidental Leader Stirs Hopes in Nigeria.,True
Ukraine: Premier Presses Case of Fraud.,False
Russia: Life Term for a Former Officer.,False
Poor Sanitation in Haiti’s Camps Adds Disease Risk.,False
The Vatican: Australian Saint Approved.,False
Marines Do Heavy Lifting as Afghan Army Lags in Battle.,True
"Filipino Politicians Wield Private Armies, Despite Ban.",False
Niger Junta Gives Assurances on Democracy Plans.,False
Afghans Voice Their Fears Amid Marja Campaign.,False
A Model of Harmony Is Found in a Flashpoint City for Iraqi Sectarian Fighting.,False
A Bus System Reopens Rifts in South Africa.,True
NATO Airstrike Kills Afghan Civilians.,False
Countless Lost Limbs Alter Life in Haiti’s Ruins.,True
Israel’s Plans for 2 Sites Stir Unrest in West Bank.,False
China’s Han Flock to Theme Parks Featuring Minorities.,False
Questions Surface After Haitian Airlift.,False
Turkey Unsettled by Officer Arrests.,False
Inquiry Grows in Dubai Assassination.,False
British Panel Condemns Media Group in Phone Hacking Case.,False
"C.I.A. and Pakistan Work Together, Warily.",True
"In an Iraqi City, the Real Ballot Contest Is for Shiite Leadership.",False
"On Visit to Rwanda, Sarkozy Admits ‘Grave Errors’ in 1994 Genocide.",False
Turkey’s Leaders Seek to Defuse Crisis.,False
Mayor’s Housing Offer Sets Off Row in Jerusalem.,True
More Clashes Over Israeli Claim to Shrine.,False
Mystical Form of Islam Suits Sufis in Pakistan.,False
Thai Court Seizes $1.4 Billion From Ex-Premier.,False
Myanmar Denies Dissident’s Appeal.,False
Another Puzzle After Iran Moves Nuclear Fuel .,True
Iraqi Sunnis Pin Their Hopes on Elections.,False
1.5 Million Displaced After Chile Quake.,True
Frustrated Strivers  in Pakistan Turn to Jihad.,True
Frantic Rescue Efforts in Chile as Troops Seek to Keep Order.,True
"Slain Hamas Operative Was Drugged, Dubai Police Say.",False
"Using Diplomatic Touch, an Outsider Challenges the Grip of Egypt’s Ruling Party.",False
Vote Seen as Pivotal Test for Both Iraq and Maliki.,True
"After Push in Marja, Marines Try to Win Trust.",False
"With Olympic Flame Out, Russia Fumes Over Its Athletes’ Showing.",False
"‘Hero of Ukraine’ Splits Nation, Inside and Out.",True
Iraqis Awash in Gifts From Candidates.,False
"Army Ebbs, and Power Realigns in Turkey.",False
"For 13th Time, Critic of China’s Government Is Barred From Leaving Country.",False
Iraq’s Top Cleric Refuses to Influence Elections.,False
Abuse Case Rouses India’s Middle Class.,True
"The Sea, Lifeblood of Chilean Towns, Turns Deadly.",False
Indicted Ex-Leader of Bosnian Serbs Calls Atrocities ‘Myths’.,False
Murky Candidacy Stokes Iraq’s Sectarian Fears.,True
"In Iraq, Early Vote Is Marred by Attacks.",False
House Panel Says Armenian Deaths Were Genocide.,False
Haitian Singer and His Guitar Fight Urge to Weep.,False
Iceland Voters Set to Reject Debt Deal.,False
Unity Elusive as Iraq Grasps Trappings of Democracy.,True
Russia Says Burnt Body May Belong to Militant.,False
U.S. Aiding Somalia in Its Plan to Retake Its Capital.,True
U.S. Sees a Terror Threat; Pakistanis See a Heroine.,False
U.S. Enriches Companies Defying Its Policy on Iran.,True
Letting Women Reach Women in Afghan War.,True
"Seoul Police Link 1,700 Pairs of Shoes to 2 Feet.",True
"As Iraq Tallies Vote, U.S. Says Pullout Plans Are ‘on Track’.",True
Afghanistan’s President Receives a Mixed Reception in a Visit to Newly Won Marja.,False
Absorbing the Blows That Buffet Europe.,False
U.S. Hopes Exports Will Help Open Closed Societies.,False
"Sunnis Go to Polls, This Time, to Retain a Voice.",True
Toll From Religious and Ethnic Violence in Nigeria Rises to 500.,False
Candidates Speculate on Results of Iraq Vote.,False
Berlin’s Airport: Shining Beacon or Waste of Money.,False
"In Chile’s Capital, Damage Is Inside and Invisible.",True
"As Biden Visits,
Israel Unveils Plan for New Settlements.",False
Uproar in India Over Female Lawmaker Quota.,False
"Somalia Food Aid Bypasses Needy, U.N. Study Says.",True
"Upset by U.S. Security, Pakistanis Return as Heroes.",False
Nigerians Recount Night of Their Bloody Revenge.,True
Chile Leader Enters Changed Political Landscape.,False
Spy Chief in Pakistan to Stay On Another Year.,False
Rewrite of Physics by Einstein on Display.,False
"In Early Tally, Tight Iraq Race Deepens Splits.",True
U.N. to End Some Deals for Food to Somalia.,False
Tale of Botched Traffic Operation Increases Russians’ Mistrust of Moscow Police.,False
Earthquake’s Burdens Weigh Heavily on Haiti’s Elderly.,False
Cost of Stadium Reveals Tensions in South Africa.,True
Abuse Scandal in Germany Edges Closer to Pope.,True
Pakistan Army Digs In on Turf of the Taliban.,True
Arrest Stokes Concerns About Radicalized Muslims.,False
Clinton Rebukes Israel on Housing Announcement.,False
"Where Some Envision Czar’s End, Church Sees Building Site.",False
"Fearing Drug Cartels, Reporters in Mexico Retreat.",True
New Fraud Cases Point to Lapses in Iraq Projects.,True
"Netanyahu Offers Apology, but No Shift in Policy.",False
Panic in Georgia After a Mock News Broadcast.,False
Two Drug Slayings in Mexico Rock U.S. Consulate.,True
"For Philippine Family in Politics, Land Issue Hits Home.",False
Contractors Tied to Effort to Track and Kill Militants.,True
Thai Protesters Shut Down Parts of Bangkok.,False
Iraq Election Results Hint of Political Shift.,False
Israel Feeling Rising Anger From the U.S. .,True
German Priest in Church Abuse Case Is Suspended.,True
Indian Cabinet Backs Foreign Schools.,False
U.S. Is Reining In Special Operations Forces in Afghanistan.,True
Mexico Is Warned on Drug Detector.,False
Rural Haiti Struggles to Absorb Displaced.,False
Followers of Sadr Emerge Stronger After Iraq Elections.,True
Leaders’ Lavishness Gives Rise to ‘Lifestyle Audits’.,False
Vatican Official Says Rising Number of Sexual Abuse Cases Could Overload Staff.,False
China: Film Star Responds to Accusations on Quake Charity.,False
Opportunity in a Fight With Israel.,False
Irish Cardinal ‘Ashamed’ of Handling of ’75 Abuse.,False
Taliban Hit Back in Marja With a Campaign of Intimidation.,True
Suspicion of Arson at Royal Tombs Fuels Deadly Clashes in Uganda.,False
"Change Comes to Myanmar, but Only on the Junta’s Terms.",True
German Call for Austerity Has Europe Grumbling.,False
N. Korea Is Said to Execute Finance Chief.,False
Iran Dispute Becomes Focus of Clinton’s Russia Trip.,False
Gaza Rocket Attack Into Israel Kills a Thai Worker.,False
Young Hostage Freed After Wide Hunt.,False
Israeli Suggests Steps to Aid Peace Talks.,False
Doctor Asserts Church Ignored Abuse Warnings.,True
"For India’s Newly Rich Farmers, Limos Won’t Do.",True
"Music, Infused With Sorrow and Joy, in Honor of Migrant Dreamers.",False
Clinton Calls Israel’s Moves to Ease Tension ‘Useful’.,False
"Iran Releases Opposition Leaders, Rights Advocates Say.",False
"In Haiti, Mental Health System Is in Collapse.",True
"U.S. Frees Detainees, but Afghans’ Anger Persists.",False
Irish Town Puzzled by Role in Investigation.,False
New Efforts on Iran Sanctions Run Into Familiar Snags.,False
Adviser in Haiti to Americans Is Captured.,False
Obama Offers Engagement in Video Message to Iranians.,False
U.S. Turns a Blind Eye to Opium in Afghan Town.,True
Mexican Traffickers Sow Chaos With Blockades.,False
Iraq’s Premier Endorses a Recount of the Vote.,False
Tent City at a Golf Club Dramatizes Haiti’s Limbo.,False
Pope’s Letter Does Little to Assuage Anger.,False
Bid to Relax International Ban on the Sale of Ivory Is Rejected.,False
Rio Tinto Workers Admit Taking Bribes in China.,True
Netanyahu Takes Hard Line on Jerusalem Housing.,False
A Flock Grows Right at Home for a Priest in Ukraine.,False
North Korea Says a Detained U.S. Citizen Will Face Trial.,False
"Election Looming, Tories Put Posh Foot in Mouth.",True
Russia to Alter System of Penal Colonies.,False
Church Adds More Abuse Cases to Its Inquiry in Germany.,False
U.S. and Mexico Revise Joint Antidrug Strategy.,False
Insurgent Faction Presents Afghan Peace Plan.,False
Somali Backlash May Be Militants’ Worst Foe.,True
Indian Students Wield Tests for College Spots.,False
Stance by China to Limit Google Is Risk by Beijing.,True
Israel Absorbs Twin Rebukes From Top Allies.,True
Russia and U.S. Report Breakthrough on Arms .,True
Vatican Declined to Defrock U.S. Priest Who Abused Boys.,True
"Despite Authoritarian Rule, Myanmar Art Grows.",False
Conflicting Demands Test Netanyahu.,False
"Chávez Critic Is Arrested, Then Freed, in Venezuela.",False
American Terror Suspect Traveled Unimpeded.,True
Memo to Pope Described Transfer of Pedophile Priest.,True
Allawi Victory in Iraq Sets Up Period of Uncertainty.,True
Twists and Turns on Way to Arms Pact With Russia.,False
Tighter Rules Fail to Stem Deaths of Innocent Afghans at Checkpoints.,False
Blasts Kill Dozens at Cafe and Restaurant North of Baghdad.,False
Zimbabwe Shrugs Off Gay Rights.,False
"Kandahar, a Battlefield Even Before U.S. Offensive.",True
Maliki Contests the Result of Iraq Vote.,False
Agencies Suspect Iran Is Planning Atomic Sites.,True
Fleeing Rebels Kill Hundreds of Congolese.,True
"In Afghan Trip, Obama Presses Karzai on Graft.",True
Chinese Activist Surfaces After a Year in Custody.,False
Scandal Tests Catholics’ Trust in Leadership.,False
Rift Exposes Split in Views on Mideast.,False
North Koreans Use Cellphones to Bare Secrets.,True
Moscow Attack a Test for Putin and His Record Against Terror.,True
Main Opposition to Boycott Myanmar Election.,False
Chinese Court Hands Down Stiff Sentences to Four Mining Company Employees.,False
Iraqi Ex-Premier Looks to Past in Fighting Critics.,False
"On China’s Hainan Island, the Boom Is Deafening.",False
Pakistan Arrests a Top Crime Official.,False
"Suicides, Some for Separatist Cause, Jolt India.",True
"Despite Doubt, Karzai Brother Retains Power.",True
Haiti Frets Over Aid and Control of Rebuilding.,False
Lawmakers Resist Karzai’s Move on Election Panel.,False
Chechen Rebel Says He Planned Attacks.,True
Thai Protesters Shed Culture of Restraint.,False
Suspect Says Juárez Killers Had Pursued Jail Guard.,False
No Shortcuts When Military Moves a War.,True
"Amid Thaw, Obama Talks With Chinese Leader.",True
Medvedev Vows Harsh Tactics Against Militants.,False
Iran Plays Host to Delegations After Iraq Elections.,True
"Countries Blame China, Not Nature, for Water Shortage.",False
How a Molesting Case Emerged Decades Later.,False
Russia Says Suicide Bomber Was Militant’s Widow.,True
Vatican Priest Likens Criticism Over Abuse to Anti-Semitism.,True
"Kenya Lawmakers Pass Draft Constitution, Limiting Presidency.",False
"In Turkey, Proposed Changes Aim at Old Guard.",False
"Walls, Real and Imagined, Surround the Roma.",False
"In Call, Karzai Tries to Clarify a Diatribe.",False
"From California to Cambodia, Fighting for Women.",False
Violence Helps Taliban Undo Afghan Gains.,True
Bombs Hit Hub of Diplomacy in Baghdad.,True
Protesters Turn Up Heat in Thailand.,False
"Easter Support for Pope, and Some Apologies.",True
Zuma Seeks to Calm South Africa After Killing.,False
Dozens Rescued From Chinese Mine.,False
U.S. Admits Role in February Killing of Afghan Women.,False
Mentally Disturbed Man Attacks Bishop in Germany.,False
Drones Batter Al Qaeda and Its Allies Within Pakistan.,True
Spring Harvest of Debt for Parched Farms in Southern China.,False
Afghan Investigators Say U.S. Troops Tried to Cover Up Evidence in Botched Raid.,False
"With Hope Dwindling, 115 Chinese Miners Are Saved.",False
U.S. Consulate in Pakistan Attacked by Militants.,False
Thai Protesters Defy Order to Disperse.,False
Priest Charged in U.S. Is Still Serving in India.,True
Obama Limits When U.S. Would Use Nuclear Arms.,True
Baghdad Bombing Streak Stokes Fear of New Round of Sectarian Violence.,False
3 Check In at Airport; 1 Departed Beforehand.,False
A Region’s Wounds Fester on Russia’s South Border.,False
Palestinians Try a Less Violent Path to Resistance.,True
Upheaval in Kyrgyzstan Could Imperil Key U.S. Base.,True
China’s Censors Tackle and Trip Over the Internet.,True
Kyrgyzstan President Says He Will Not Step Down.,False
Turnout Low at Sri Lanka Parliamentary Elections.,False
South Korean Sailors Say Blast That Sank Their Ship Came From Outside the Vessel.,False
Rescuers Work to Save Scores Buried in a Brazil Landslide.,False
Leader Is Absent as N. Korean Legislature Convenes.,False
Demonstrators Storm TV Station in Thailand.,False
Russia Calls for Halt on U.S. Adoptions .,True
Kyrgyzstan President Is Offered Passage From Country.,False
U.S. Now Trying Softer Approach Toward Karzai.,True
Doctors Remove Ammunition From Soldier’s Head.,False
Pope Put Off Punishing Abusive Priest.,True
Republicans Pose Test for Treaty With Russia.,False
Polish President Dies in Jet Crash in Russia.,True
Vatican Defends Handling of a Case in California.,False
Tribes of Amazon Find an Ally Out of ‘Avatar’.,True
"From Embattled Pope, Praise for a Predecessor.",False
Ousted Kyrgyz President Claims Popular Support.,False
"With Outcome Foretold, Sudanese Elections Begin.",False
Polish Crash Inquiry Looks at Decision to Land Jet.,False
Leaders Gather for Nuclear Talks as New Threat Is Seen.,True
Civilians Killed as U.S. Troops Fire on Afghan Bus.,True
China Pledges to Work With U.S. on Iran Sanctions.,True
Vatican Publishes Procedures for Sex Abuse Cases.,False
French and German Ties Fray Over Greek Crisis.,False
A Campaign Shows Signs of Progress Against Polio.,False
"Leg Lost, Dancer Is Caught Between Caregivers.",True
Obama Vows Fresh Proliferation Push as Summit Ends.,True
Banks Making Big Profits From Tiny Loans.,True
Mideast Land Conflict Now Includes Street Signs.,False
Poland’s Unity Is Disrupted by Plans for President’s Interment.,False
"Iraq’s Forces Prove Able, but Loyalty Is Uncertain.",False
U.S. Forces Close Post in Afghan ‘Valley of Death’.,True
"Taking a Sacred Plunge, One Wave of Humanity at a Time.",False
Comments by Cardinal on Sexuality Create a Stir.,False
Sudan’s Growth Buoys a Leader Reviled Elsewhere.,False
Obama Speech Signals a U.S. Shift on Middle East.,True
Volcanic Ash to Curtail Air Traffic Into  Midday Friday.,True
Kyrgyz President Leaves Country.,False
Russia Seeks Ways to Keep Its Children.,False
"After Quake in China, Cold and Altitude Hinder Relief.",False
South African Judge May Be Kept From Grandson’s Bar Mitzvah.,True
Iraqi Sunnis Expect Allegiance Shift to Bear Fruit.,False
"10 Years After a Mea Culpa, No Hint of a ‘Me, Too’.",False
Voters’ Concerns on Immigration Spin British Campaign.,False
China Starts New Bureau to Curb Web.,False
Congo: Red Cross Aides Are Freed.,False
Record Audience Tuned In for British Debate.,False
"After Quake, Tibetans Distrust China’s Help.",True
Gates Says U.S. Lacks a Policy to Thwart Iran.,True
Pope Meets Victims Abused by Priests in Malta.,False
Scandal Forces India Politician to Step Down.,False
Monks Bolster China’s Quake Relief Effort.,False
Indian Who Built Yoga Empire Works on Politics.,True
Iraqi Court Sets Partial Recount in Tight Election.,True
Ousted President of Kyrgyzstan Finds Refuge in Belarus.,False
"At Top University, a Fight for Pakistan’s Future.",True
Ash Turns Routine Flights Into Overland Odysseys.,True
Bangkok Explosions Stoke Fears of Wider Violence.,False
Investigation of Jail Death Is Criticized in Russia.,False
U.S. Faces Choice on New Weapons for Fast Strikes.,True
Chilean Abuse Case Tests Loyalty of a Parish.,False
Wave of Fatal Bombings Widens Fissures in Iraq.,False
"Bishop, 73, in Belgium Steps Down Over Abuse.",False
Scrap Metal Radiation Raises Concerns in India.,False
Chinese Military Seeks to Extend Its Naval Power.,True
A Top Indonesian Lawyer May Be Honest to a Fault.,False
Kyrgyzstan: A Promise to Stay Away.,False
Zimbabwe: Iranian President Opens Trade Fair.,False
China: Rare Public Protest Against an Official.,False
Pakistan: Military Convoy Ambushed.,False
Ship Attack Shows South Korean Quandary Over How to Respond to North.,False
Elite U.S. Units Step Up Effort in Afghan City Before Attack.,True
‘Foolish’ Memo on Pope’s Visit Spurs Apology by the British.,False
Indian Justice Inches Closer to Chapters of Violence.,False
Investigation Links Critic’s Death to Top Chechens.,True
Suicide Attacker Misses British Ambassador’s Convoy Traveling in Yemeni Capital.,False
Election Ruling in Iraq Favors Prime Minister.,True
Privilege Pulls Qatar Toward Unhealthy Choices.,False
Future Pope’s Role in Abuse Case Was Complex.,False
We Have Met the Enemy and He Is PowerPoint.,True
"Full of Fight, Brown Still Lags With British Voters.",False
"Top Chechen Ordered Abduction, Austria Says.",False
Obama Sticks to a Deadline in Iraq .,False
Despair Grows on Devastated Street in Haiti.,True
"In British Race, a Stray Remark
Haunts Brown.",True
Expo Offers Shanghai a Turn in the Spotlight.,False
82 Charges Added On for Officer.,False
"In Abuse Crisis, a Church Is Pitted Against Society and Itself.",False
"Pakistan, in Shift, Weighs Attack on Militant Lair.",True
Stunned China Looks Inward After School Attacks.,False
